date,weight
2020-01-07,261.2
2020-01-09,260.1
2020-01-10,257.7
2020-01-11,252.6
2020-01-12,252.6
2020-01-13,251.5
2020-01-14,252.9
2020-01-15,250.7
2020-01-16,252.0
2020-01-17,251.1
2020-01-18,251.3
2020-01-19,251.8
2020-01-20,250.4
2020-01-21,250.7
2020-01-22,249.6
2020-01-23,249.6
2020-01-24,248.2
2020-01-25,246.9
2020-01-26,246.9
2020-01-27,248.5
2020-01-28,250.2
2020-01-29,249.4
2020-01-30,250.8
2020-01-31,250.7
2020-02-01,250.0
2020-02-02,249.3
2020-02-03,249.5
2020-02-04,249.5
2020-02-05,248.8
2020-02-06,248.0
2020-02-07,245.6
2020-02-08,248.7
2020-02-09,248.2
2020-02-10,246.9
2020-02-11,245.8
2020-02-12,243.8
2020-02-13,244.5
2020-02-14,244.5
2020-02-15,243.8
2020-02-16,244.5
2020-02-17,244.5
2020-02-18,244.1
2020-02-19,243.2
2020-02-20,242.9
2020-02-21,243.6
2020-02-22,244.9
2020-02-23,244.1
2020-02-24,240.7
2020-02-25,239.6
2020-02-26,239.4
2020-02-27,241.0
2020-02-28,240.5
2020-03-01,243.0
2020-03-03,242.7
2020-03-04,243.4
2020-03-05,242.9
2020-03-06,243.7
2020-03-07,241.9
2020-03-08,243.6
2020-03-09,243.4
2020-03-10,242.1
2020-03-11,240.3
2020-03-12,241.6
2020-03-13,240.1
2020-03-15,240.5
2020-03-16,238.1
2020-03-17,239.6
2020-03-18,240.1
2020-03-19,239.6
2020-03-20,240.1
2020-03-21,238.5
2020-03-22,240.5
2020-03-23,239.4
2020-03-24,239.0
2020-03-25,237.0
2020-03-26,236.3
2020-03-27,235.0
2020-03-28,235.0
2020-03-29,236.6
2020-03-30,234.6
2020-03-31,234.8
2020-04-01,234.5
2020-04-02,233.9
2020-04-03,235.2
2020-04-04,234.6
2020-04-05,233.0
2020-04-06,230.8
2020-04-07,231.7
2020-04-09,233.9
2020-04-10,232.4
2020-04-11,232.6
2020-04-12,232.8
2020-04-13,231.4
2020-04-14,233.5
2020-04-15,229.7
2020-04-16,231.5
2020-04-17,229.7
2020-04-18,230.6
2020-04-19,231.0
2020-04-20,229.5
2020-04-21,230.8
2020-04-22,229.2
